bill_id,doc_id
216386,140577
216387,139987
216388,101287
216388,216409
216388,233222
216389,143794
216389,192210
216389,219182
216390,124905
216391,125169
216392,125307
216392,217330
216392,234428
216393,101672
216394,101829
216395,145304
216396,125565
216397,101982
216398,125754
216398,207116
216398,223009
216398,287160
216398,291332
216399,102154
216400,126023
216401,126217
216402,126526
216403,126735
216404,119233
216405,102336
216405,102337
216405,102338
216405,238411
216405,281734
216406,97907
216406,108257
216406,153500
216407,102467
216408,126913
216409,127212
216410,127421
216411,127624
216412,102579
216413,97540
216414,127917
216415,122835
216416,128333
216417,128496
216418,99456
216419,97682
216420,97420
216421,97777
216421,159226
216421,202639
216422,129257
216423,130393
216424,131020
216425,131387
216426,131710
216427,131926
216428,101547
216428,223057
216428,289007
216429,132130
216430,97999
216430,221543
216430,232756
216430,282209
216431,98080
216432,99144
216432,178262
216433,106635
216434,102397
216434,173375
216434,217026
216434,289227
216435,139756
216436,134139
216437,98240
216438,134295
216438,159363
216439,103449
216439,103450
216439,151030
216439,221039
216439,239048
216440,108798
216440,233646
216441,109179
216442,102663
216442,102664
216442,102665
216443,100293
216444,100517
216444,178014
216444,190623
216445,100670
216445,249305
216446,109771
216447,110166
216448,102716
216448,215531
216448,220659
216448,240952
216449,104097
216449,104098
216449,146270
216450,105066
216450,105067
216450,146753
216450,238376
216451,97421
216452,100752
216453,103934
216454,101455
216454,195061
216455,143426
216456,113138
216456,223149
216457,145183
216457,232958
216457,233861
216458,114052
216459,142307
216460,115792
216460,215521
216460,233655
216460,270941
216461,116649
216462,117290
216463,99724
216464,104436
216464,151323
216465,118834
216466,119400
216467,137674
216467,235937
216467,293704
216468,120475
216468,215036
216469,120945
216469,202394
216469,289543
216470,121548
216471,122677
216472,123313
216473,123918
216474,124525
216475,124703
216476,141969
216477,104336
216478,100399
216479,105977
216479,235862
216479,243976
216479,284596
216479,293748
216480,107318
216481,108181
216482,137462
216483,137999
216484,138177
216485,138415
216485,215770
216485,233326
216485,294328
216486,138292
216486,214144
216486,283986
216487,139124
216488,104700
216488,178002
216488,230619
216488,241005
